C-A10-0;C-B00-0;C-C11-0;F-ISIS-568
A10-1987;B00-1;C11-1;129694
A10-1987;B00-1;C11-2;139600
A10-1987;B00-1;Total;269294
A10-1987;B00-2;C11-1;261123
A10-1987;B00-2;C11-2;280913
A10-1987;B00-2;Total;542036
A10-1987;B00-3;C11-1;692326
A10-1987;B00-3;C11-2;746379
A10-1987;B00-3;Total;1438705
A10-1987;B00-4;C11-1;618552
A10-1987;B00-4;C11-2;665690
A10-1987;B00-4;Total;1284242
A10-1987;B00-5;C11-1;219597
A10-1987;B00-5;C11-2;240786
A10-1987;B00-5;Total;460383
A10-1987;B00-6;C11-1;563422
A10-1987;B00-6;C11-2;611493
A10-1987;B00-6;Total;1174915
A10-1987;B00-7;C11-1;293184
A10-1987;B00-7;C11-2;313746
A10-1987;B00-7;Total;606930
A10-1987;B00-8;C11-1;153196
A10-1987;B00-8;C11-2;160000
A10-1987;B00-8;Total;313196
A10-1987;B00-9;C11-1;674362
A10-1987;B00-9;C11-2;810523
A10-1987;B00-9;Total;1484885
A10-1987;Total;C11-1;3605456
A10-1987;Total;C11-2;3969130
A10-1987;Total;Total;7574586
A10-1988;B00-1;C11-1;130036
A10-1988;B00-1;C11-2;139512
A10-1988;B00-1;Total;269548
A10-1988;B00-2;C11-1;261555
A10-1988;B00-2;C11-2;281006
A10-1988;B00-2;Total;542561
A10-1988;B00-3;C11-1;694477
A10-1988;B00-3;C11-2;746640
A10-1988;B00-3;Total;1441117
A10-1988;B00-4;C11-1;620170
A10-1988;B00-4;C11-2;666162
A10-1988;B00-4;Total;1286332
A10-1988;B00-5;C11-1;221087
A10-1988;B00-5;C11-2;241954
A10-1988;B00-5;Total;463041
A10-1988;B00-6;C11-1;562553
A10-1988;B00-6;C11-2;609433
A10-1988;B00-6;Total;1171986
A10-1988;B00-7;C11-1;295073
A10-1988;B00-7;C11-2;315234
A10-1988;B00-7;Total;610307
A10-1988;B00-8;C11-1;154347
A10-1988;B00-8;C11-2;161072
A10-1988;B00-8;Total;315419
A10-1988;B00-9;C11-1;676624
A10-1988;B00-9;C11-2;808382
A10-1988;B00-9;Total;1485006
A10-1988;Total;C11-1;3615922
A10-1988;Total;C11-2;3969395
A10-1988;Total;Total;7585317
A10-1989;B00-1;C11-1;130541
A10-1989;B00-1;C11-2;139612
A10-1989;B00-1;Total;270153
A10-1989;B00-2;C11-1;262427
A10-1989;B00-2;C11-2;281485
A10-1989;B00-2;Total;543912
A10-1989;B00-3;C11-1;699714
A10-1989;B00-3;C11-2;749780
A10-1989;B00-3;Total;1449494
A10-1989;B00-4;C11-1;624071
A10-1989;B00-4;C11-2;668482
A10-1989;B00-4;Total;1292553
A10-1989;B00-5;C11-1;223858
A10-1989;B00-5;C11-2;244302
A10-1989;B00-5;Total;468160
A10-1989;B00-6;C11-1;562353
A10-1989;B00-6;C11-2;607836
A10-1989;B00-6;Total;1170189
A10-1989;B00-7;C11-1;297928
A10-1989;B00-7;C11-2;317502
A10-1989;B00-7;Total;615430
A10-1989;B00-8;C11-1;157047
A10-1989;B00-8;C11-2;163423
A10-1989;B00-8;Total;320470
A10-1989;B00-9;C11-1;681087
A10-1989;B00-9;C11-2;808118
A10-1989;B00-9;Total;1489205
A10-1989;Total;C11-1;3639026
A10-1989;Total;C11-2;3980540
A10-1989;Total;Total;7619566
A10-1990;B00-1;C11-1;131221
A10-1990;B00-1;C11-2;139912
A10-1990;B00-1;Total;271133
A10-1990;B00-2;C11-1;263865
A10-1990;B00-2;C11-2;282498
A10-1990;B00-2;Total;546363
A10-1990;B00-3;C11-1;708274
A10-1990;B00-3;C11-2;755516
A10-1990;B00-3;Total;1463790
A10-1990;B00-4;C11-1;631147
A10-1990;B00-4;C11-2;672911
A10-1990;B00-4;Total;1304058
A10-1990;B00-5;C11-1;228178
A10-1990;B00-5;C11-2;248111
A10-1990;B00-5;Total;476289
A10-1990;B00-6;C11-1;563445
A10-1990;B00-6;C11-2;607186
A10-1990;B00-6;Total;1170631
A10-1990;B00-7;C11-1;301194
A10-1990;B00-7;C11-2;320086
A10-1990;B00-7;Total;621280
A10-1990;B00-8;C11-1;160511
A10-1990;B00-8;C11-2;166083
A10-1990;B00-8;Total;326594
A10-1990;B00-9;C11-1;687724
A10-1990;B00-9;C11-2;809988
A10-1990;B00-9;Total;1497712
A10-1990;Total;C11-1;3675559
A10-1990;Total;C11-2;4002291
A10-1990;Total;Total;7677850
A10-1991;B00-1;C11-1;132333
A10-1991;B00-1;C11-2;140618
A10-1991;B00-1;Total;272951
A10-1991;B00-2;C11-1;265788
A10-1991;B00-2;C11-2;284254
A10-1991;B00-2;Total;550042
A10-1991;B00-3;C11-1;717382
A10-1991;B00-3;C11-2;761805
A10-1991;B00-3;Total;1479187
A10-1991;B00-4;C11-1;640792
A10-1991;B00-4;C11-2;679775
A10-1991;B00-4;Total;1320567
A10-1991;B00-5;C11-1;232886
A10-1991;B00-5;C11-2;251921
A10-1991;B00-5;Total;484807
A10-1991;B00-6;C11-1;566310
A10-1991;B00-6;C11-2;608214
A10-1991;B00-6;Total;1174524
A10-1991;B00-7;C11-1;304942
A10-1991;B00-7;C11-2;323342
A10-1991;B00-7;Total;628284
A10-1991;B00-8;C11-1;163576
A10-1991;B00-8;C11-2;168354
A10-1991;B00-8;Total;331930
A10-1991;B00-9;C11-1;697366
A10-1991;B00-9;C11-2;815233
A10-1991;B00-9;Total;1512599
A10-1991;Total;C11-1;3721375
A10-1991;Total;C11-2;4033516
A10-1991;Total;Total;7754891
A10-1992;B00-1;C11-1;133506
A10-1992;B00-1;C11-2;141437
A10-1992;B00-1;Total;274943
A10-1992;B00-2;C11-1;268383
A10-1992;B00-2;C11-2;286848
A10-1992;B00-2;Total;555231
A10-1992;B00-3;C11-1;726621
A10-1992;B00-3;C11-2;768787
A10-1992;B00-3;Total;1495408
A10-1992;B00-4;C11-1;650255
A10-1992;B00-4;C11-2;687706
A10-1992;B00-4;Total;1337961
A10-1992;B00-5;C11-1;237908
A10-1992;B00-5;C11-2;255824
A10-1992;B00-5;Total;493732
A10-1992;B00-6;C11-1;570463
A10-1992;B00-6;C11-2;610622
A10-1992;B00-6;Total;1181085
A10-1992;B00-7;C11-1;309065
A10-1992;B00-7;C11-2;327145
A10-1992;B00-7;Total;636210
A10-1992;B00-8;C11-1;165862
A10-1992;B00-8;C11-2;170298
A10-1992;B00-8;Total;336160
A10-1992;B00-9;C11-1;707835
A10-1992;B00-9;C11-2;822144
A10-1992;B00-9;Total;1529979
A10-1992;Total;C11-1;3769898
A10-1992;Total;C11-2;4070811
A10-1992;Total;Total;7840709
A10-1993;B00-1;C11-1;134165
A10-1993;B00-1;C11-2;141793
A10-1993;B00-1;Total;275958
A10-1993;B00-2;C11-1;270296
A10-1993;B00-2;C11-2;288639
A10-1993;B00-2;Total;558935
A10-1993;B00-3;C11-1;734095
A10-1993;B00-3;C11-2;774125
A10-1993;B00-3;Total;1508220
A10-1993;B00-4;C11-1;657103
A10-1993;B00-4;C11-2;693711
A10-1993;B00-4;Total;1350814
A10-1993;B00-5;C11-1;242054
A10-1993;B00-5;C11-2;259161
A10-1993;B00-5;Total;501215
A10-1993;B00-6;C11-1;573407
A10-1993;B00-6;C11-2;612079
A10-1993;B00-6;Total;1185486
A10-1993;B00-7;C11-1;312584
A10-1993;B00-7;C11-2;330309
A10-1993;B00-7;Total;642893
A10-1993;B00-8;C11-1;167212
A10-1993;B00-8;C11-2;171428
A10-1993;B00-8;Total;338640
A10-1993;B00-9;C11-1;716151
A10-1993;B00-9;C11-2;827320
A10-1993;B00-9;Total;1543471
A10-1993;Total;C11-1;3807067
A10-1993;Total;C11-2;4098565
A10-1993;Total;Total;7905632
A10-1994;B00-1;C11-1;134841
A10-1994;B00-1;C11-2;142067
A10-1994;B00-1;Total;276908
A10-1994;B00-2;C11-1;270946
A10-1994;B00-2;C11-2;289270
A10-1994;B00-2;Total;560216
A10-1994;B00-3;C11-1;738478
A10-1994;B00-3;C11-2;776968
A10-1994;B00-3;Total;1515446
A10-1994;B00-4;C11-1;661002
A10-1994;B00-4;C11-2;696802
A10-1994;B00-4;Total;1357804
A10-1994;B00-5;C11-1;244374
A10-1994;B00-5;C11-2;260864
A10-1994;B00-5;Total;505238
A10-1994;B00-6;C11-1;574100
A10-1994;B00-6;C11-2;612022
A10-1994;B00-6;Total;1186122
A10-1994;B00-7;C11-1;315215
A10-1994;B00-7;C11-2;332639
A10-1994;B00-7;Total;647854
A10-1994;B00-8;C11-1;168231
A10-1994;B00-8;C11-2;172240
A10-1994;B00-8;Total;340471
A10-1994;B00-9;C11-1;718858
A10-1994;B00-9;C11-2;827201
A10-1994;B00-9;Total;1546059
A10-1994;Total;C11-1;3826045
A10-1994;Total;C11-2;4110073
A10-1994;Total;Total;7936118
A10-1995;B00-1;C11-1;135367
A10-1995;B00-1;C11-2;142322
A10-1995;B00-1;Total;277689
A10-1995;B00-2;C11-1;271347
A10-1995;B00-2;C11-2;289934
A10-1995;B00-2;Total;561281
A10-1995;B00-3;C11-1;741504
A10-1995;B00-3;C11-2;779133
A10-1995;B00-3;Total;1520637
A10-1995;B00-4;C11-1;662984
A10-1995;B00-4;C11-2;697983
A10-1995;B00-4;Total;1360967
A10-1995;B00-5;C11-1;245600
A10-1995;B00-5;C11-2;261854
A10-1995;B00-5;Total;507454
A10-1995;B00-6;C11-1;574233
A10-1995;B00-6;C11-2;611597
A10-1995;B00-6;Total;1185830
A10-1995;B00-7;C11-1;317102
A10-1995;B00-7;C11-2;334537
A10-1995;B00-7;Total;651639
A10-1995;B00-8;C11-1;168918
A10-1995;B00-8;C11-2;173033
A10-1995;B00-8;Total;341951
A10-1995;B00-9;C11-1;717020
A10-1995;B00-9;C11-2;823810
A10-1995;B00-9;Total;1540830
A10-1995;Total;C11-1;3834075
A10-1995;Total;C11-2;4114203
A10-1995;Total;Total;7948278
A10-1996;B00-1;C11-1;135406
A10-1996;B00-1;C11-2;142297
A10-1996;B00-1;Total;277703
A10-1996;B00-2;C11-1;271442
A10-1996;B00-2;C11-2;290261
A10-1996;B00-2;Total;561703
A10-1996;B00-3;C11-1;743090
A10-1996;B00-3;C11-2;780446
A10-1996;B00-3;Total;1523536
A10-1996;B00-4;C11-1;664107
A10-1996;B00-4;C11-2;698490
A10-1996;B00-4;Total;1362597
A10-1996;B00-5;C11-1;246266
A10-1996;B00-5;C11-2;262891
A10-1996;B00-5;Total;509157
A10-1996;B00-6;C11-1;574180
A10-1996;B00-6;C11-2;610886
A10-1996;B00-6;Total;1185066
A10-1996;B00-7;C11-1;318963
A10-1996;B00-7;C11-2;336565
A10-1996;B00-7;Total;655528
A10-1996;B00-8;C11-1;169348
A10-1996;B00-8;C11-2;173787
A10-1996;B00-8;Total;343135
A10-1996;B00-9;C11-1;717682
A10-1996;B00-9;C11-2;822909
A10-1996;B00-9;Total;1540591
A10-1996;Total;C11-1;3840484
A10-1996;Total;C11-2;4118532
A10-1996;Total;Total;7959016
A10-1997;B00-1;C11-1;135257
A10-1997;B00-1;C11-2;142111
A10-1997;B00-1;Total;277368
A10-1997;B00-2;C11-1;271153
A10-1997;B00-2;C11-2;290127
A10-1997;B00-2;Total;561280
A10-1997;B00-3;C11-1;744005
A10-1997;B00-3;C11-2;781549
A10-1997;B00-3;Total;1525554
A10-1997;B00-4;C11-1;664884
A10-1997;B00-4;C11-2;698959
A10-1997;B00-4;Total;1363843
A10-1997;B00-5;C11-1;246634
A10-1997;B00-5;C11-2;263867
A10-1997;B00-5;Total;510501
A10-1997;B00-6;C11-1;573990
A10-1997;B00-6;C11-2;610320
A10-1997;B00-6;Total;1184310
A10-1997;B00-7;C11-1;320808
A10-1997;B00-7;C11-2;338480
A10-1997;B00-7;Total;659288
A10-1997;B00-8;C11-1;169855
A10-1997;B00-8;C11-2;174499
A10-1997;B00-8;Total;344354
A10-1997;B00-9;C11-1;719576
A10-1997;B00-9;C11-2;821967
A10-1997;B00-9;Total;1541543
A10-1997;Total;C11-1;3846162
A10-1997;Total;C11-2;4121879
A10-1997;Total;Total;7968041
A10-1998;B00-1;C11-1;135085
A10-1998;B00-1;C11-2;141888
A10-1998;B00-1;Total;276973
A10-1998;B00-2;C11-1;270886
A10-1998;B00-2;C11-2;290086
A10-1998;B00-2;Total;560972
A10-1998;B00-3;C11-1;745654
A10-1998;B00-3;C11-2;783151
A10-1998;B00-3;Total;1528805
A10-1998;B00-4;C11-1;665802
A10-1998;B00-4;C11-2;699639
A10-1998;B00-4;Total;1365441
A10-1998;B00-5;C11-1;246776
A10-1998;B00-5;C11-2;264331
A10-1998;B00-5;Total;511107
A10-1998;B00-6;C11-1;573889
A10-1998;B00-6;C11-2;609813
A10-1998;B00-6;Total;1183702
A10-1998;B00-7;C11-1;322381
A10-1998;B00-7;C11-2;340090
A10-1998;B00-7;Total;662471
A10-1998;B00-8;C11-1;170500
A10-1998;B00-8;C11-2;175266
A10-1998;B00-8;Total;345766
A10-1998;B00-9;C11-1;721193
A10-1998;B00-9;C11-2;820359
A10-1998;B00-9;Total;1541552
A10-1998;Total;C11-1;3852166
A10-1998;Total;C11-2;4124623
A10-1998;Total;Total;7976789
A10-1999;B00-1;C11-1;134859
A10-1999;B00-1;C11-2;141627
A10-1999;B00-1;Total;276486
A10-1999;B00-2;C11-1;270762
A10-1999;B00-2;C11-2;290059
A10-1999;B00-2;Total;560821
A10-1999;B00-3;C11-1;747821
A10-1999;B00-3;C11-2;785099
A10-1999;B00-3;Total;1532920
A10-1999;B00-4;C11-1;667427
A10-1999;B00-4;C11-2;700872
A10-1999;B00-4;Total;1368299
A10-1999;B00-5;C11-1;247257
