C-A10-0;C-B00-0;C-C11-0;F-ISIS-568
A10-2007;B00-2;Total;559829
A10-2007;B00-3;C11-1;780102
A10-2007;B00-3;C11-2;812398
A10-2007;B00-3;Total;1592500
A10-2007;B00-4;C11-1;689177
A10-2007;B00-4;C11-2;715950
A10-2007;B00-4;Total;1405127
A10-2007;B00-5;C11-1;255004
A10-2007;B00-5;C11-2;270822
A10-2007;B00-5;Total;525826
A10-2007;B00-6;C11-1;587058
A10-2007;B00-6;C11-2;616074
A10-2007;B00-6;Total;1203132
A10-2007;B00-7;C11-1;341037
A10-2007;B00-7;C11-2;356826
A10-2007;B00-7;Total;697863
A10-2007;B00-8;C11-1;180008
A10-2007;B00-8;C11-2;184977
A10-2007;B00-8;Total;364985
A10-2007;B00-9;C11-1;795663
A10-2007;B00-9;C11-2;869795
A10-2007;B00-9;Total;1665458
A10-2007;Total;C11-1;4036548
A10-2007;Total;C11-2;4258641
A10-2007;Total;Total;8295189
A10-2008;B00-1;C11-1;137906
A10-2008;B00-1;C11-2;143985
A10-2008;B00-1;Total;281891
A10-2008;B00-2;C11-1;271249
A10-2008;B00-2;C11-2;288474
A10-2008;B00-2;Total;559723
A10-2008;B00-3;C11-1;783368
A10-2008;B00-3;C11-2;816277
A10-2008;B00-3;Total;1599645
A10-2008;B00-4;C11-1;690957
A10-2008;B00-4;C11-2;716852
A10-2008;B00-4;Total;1407809
A10-2008;B00-5;C11-1;255355
A10-2008;B00-5;C11-2;270960
A10-2008;B00-5;Total;526315
A10-2008;B00-6;C11-1;587692
A10-2008;B00-6;C11-2;616570
A10-2008;B00-6;Total;1204262
A10-2008;B00-7;C11-1;342532
A10-2008;B00-7;C11-2;358030
A10-2008;B00-7;Total;700562
A10-2008;B00-8;C11-1;180520
A10-2008;B00-8;C11-2;185877
A10-2008;B00-8;Total;366397
A10-2008;B00-9;C11-1;800636
A10-2008;B00-9;C11-2;874301
A10-2008;B00-9;Total;1674937
A10-2008;Total;C11-1;4050215
A10-2008;Total;C11-2;4271326
A10-2008;Total;Total;8321541
A10-2009;B00-1;C11-1;138461
A10-2009;B00-1;C11-2;144749
A10-2009;B00-1;Total;283210
A10-2009;B00-2;C11-1;270918
A10-2009;B00-2;C11-2;287895
A10-2009;B00-2;Total;558813
A10-2009;B00-3;C11-1;785749
A10-2009;B00-3;C11-2;818832
A10-2009;B00-3;Total;1604581
A10-2009;B00-4;C11-1;691988
A10-2009;B00-4;C11-2;717138
A10-2009;B00-4;Total;1409126
A10-2009;B00-5;C11-1;255480
A10-2009;B00-5;C11-2;271038
A10-2009;B00-5;Total;526518
A10-2009;B00-6;C11-1;588126
A10-2009;B00-6;C11-2;616504
A10-2009;B00-6;Total;1204630
A10-2009;B00-7;C11-1;343601
A10-2009;B00-7;C11-2;359116
A10-2009;B00-7;Total;702717
A10-2009;B00-8;C11-1;181021
A10-2009;B00-8;C11-2;186569
A10-2009;B00-8;Total;367590
A10-2009;B00-9;C11-1;805851
A10-2009;B00-9;C11-2;878447
A10-2009;B00-9;Total;1684298
A10-2009;Total;C11-1;4061195
A10-2009;Total;C11-2;4280288
A10-2009;Total;Total;8341483
A10-2010;B00-1;C11-1;138799
A10-2010;B00-1;C11-2;145243
A10-2010;B00-1;Total;284042
A10-2010;B00-2;C11-1;270334
A10-2010;B00-2;C11-2;287163
A10-2010;B00-2;Total;557497
A10-2010;B00-3;C11-1;787259
A10-2010;B00-3;C11-2;820169
A10-2010;B00-3;Total;1607428
A10-2010;B00-4;C11-1;692617
A10-2010;B00-4;C11-2;717397
A10-2010;B00-4;Total;1410014
A10-2010;B00-5;C11-1;255683
A10-2010;B00-5;C11-2;271431
A10-2010;B00-5;Total;527114
A10-2010;B00-6;C11-1;588869
A10-2010;B00-6;C11-2;616645
A10-2010;B00-6;Total;1205514
A10-2010;B00-7;C11-1;344673
A10-2010;B00-7;C11-2;360303
A10-2010;B00-7;Total;704976
A10-2010;B00-8;C11-1;181690
A10-2010;B00-8;C11-2;187204
A10-2010;B00-8;Total;368894
A10-2010;B00-9;C11-1;811849
A10-2010;B00-9;C11-2;883741
A10-2010;B00-9;Total;1695590
A10-2010;Total;C11-1;4071773
A10-2010;Total;C11-2;4289296
A10-2010;Total;Total;8361069
A10-2011;B00-1;C11-1;139218
A10-2011;B00-1;C11-2;145788
A10-2011;B00-1;Total;285006
A10-2011;B00-2;C11-1;269801
A10-2011;B00-2;C11-2;286597
A10-2011;B00-2;Total;556398
A10-2011;B00-3;C11-1;789799
A10-2011;B00-3;C11-2;822086
A10-2011;B00-3;Total;1611885
A10-2011;B00-4;C11-1;694226
A10-2011;B00-4;C11-2;718079
A10-2011;B00-4;Total;1412305
A10-2011;B00-5;C11-1;256432
A10-2011;B00-5;C11-2;272167
A10-2011;B00-5;Total;528599
A10-2011;B00-6;C11-1;590251
A10-2011;B00-6;C11-2;616951
A10-2011;B00-6;Total;1207202
A10-2011;B00-7;C11-1;346503
A10-2011;B00-7;C11-2;361926
A10-2011;B00-7;Total;708429
A10-2011;B00-8;C11-1;182195
A10-2011;B00-8;C11-2;187901
A10-2011;B00-8;Total;370096
A10-2011;B00-9;C11-1;818763
A10-2011;B00-9;C11-2;889851
A10-2011;B00-9;Total;1708614
A10-2011;Total;C11-1;4087188
A10-2011;Total;C11-2;4301346
A10-2011;Total;Total;8388534
A10-2012;B00-1;C11-1;139681
A10-2012;B00-1;C11-2;146462
A10-2012;B00-1;Total;286143
A10-2012;B00-2;C11-1;269653
A10-2012;B00-2;C11-2;286098
A10-2012;B00-2;Total;555751
A10-2012;B00-3;C11-1;792620
A10-2012;B00-3;C11-2;823541
A10-2012;B00-3;Total;1616161
A10-2012;B00-4;C11-1;697074
A10-2012;B00-4;C11-2;719313
A10-2012;B00-4;Total;1416387
A10-2012;B00-5;C11-1;257452
A10-2012;B00-5;C11-2;273075
A10-2012;B00-5;Total;530527
A10-2012;B00-6;C11-1;591964
A10-2012;B00-6;C11-2;617502
A10-2012;B00-6;Total;1209466
A10-2012;B00-7;C11-1;349030
A10-2012;B00-7;C11-2;363819
A10-2012;B00-7;Total;712849
A10-2012;B00-8;C11-1;182970
A10-2012;B00-8;C11-2;188727
A10-2012;B00-8;Total;371697
A10-2012;B00-9;C11-1;828987
A10-2012;B00-9;C11-2;898343
A10-2012;B00-9;Total;1727330
A10-2012;Total;C11-1;4109431
A10-2012;Total;C11-2;4316880
A10-2012;Total;Total;8426311
